513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513430;54400;62700
513440;54400;62700
513440;54400;62700
513440;54400;62700
513440;54400;62700
513440;54400;62800
513440;54400;62800
513440;54400;62800
513440;54400;62800
513450;54400;62800
513450;54400;62800
513450;54400;62800
513450;54400;62800
513450;54400;62800
513450;54400;62800
513460;54400;62800
513460;54400;62800
513460;54400;62800
513460;54400;62800
513460;54400;62800
513460;54400;62800
513470;54400;62800
513470;54400;62800
513470;54400;62800
513470;54400;62800
513480;54400;62800
513480;54400;62800
513480;54400;62800
513480;54400;62800
513480;54400;62800
513490;54400;62800
513490;54400;62800
513490;54400;62800
513500;54400;62800
513500;54400;62800
513500;54400;62800
513500;54400;62800
513510;54400;62800
513510;54400;62800
513510;54400;62800
513520;54400;62800
513520;54400;62800
513520;54400;62800
513520;54400;62800
513530;54400;62800
513530;54400;62800
513530;54400;62800
513530;54400;62800
513540;54400;62800
513540;54400;62800
513540;54400;62900
513550;54400;62900
513550;54400;62900
513550;54400;62900
513550;54400;62900
513560;54400;62900
513560;54400;62900
513560;54400;62900
513570;54400;62900
513570;54400;62900
513570;54400;62900
513580;54400;62900
513580;54400;62900
513580;54400;62900
513590;54400;62900
513590;54400;62900
513590;54400;62900
513600;54400;62900
513600;54400;62900
513600;54400;62900
513610;54400;62900
513610;54400;62900
513610;54400;62900
513620;54400;62900
513620;54400;62900
513620;54400;62900
513630;54400;62900
513630;54400;62900
513640;54400;62900
513640;54400;62900
513640;54400;63000
513650;54400;63000
513650;54400;63000
513660;54400;63000
513660;54400;63000
513660;54400;63000
513670;54400;63000
513670;54400;63000
513680;54400;63000
513680;54400;63000
513680;54400;63000
513690;54400;63000
513690;54400;63000
513700;54400;63000
513700;54400;63000
513710;54400;63000
513710;54400;63000
513710;54400;63000
513720;54400;63000
513720;54400;63000
513730;54400;63000
513730;54400;63000
513740;54400;63000
513740;54400;63100
513750;54400;63100
513750;54400;63100
513760;54400;63100
513760;54400;63100
513770;54400;63100
513770;54400;63100
513780;54400;63100
513780;54400;63100
513790;54400;63100
513790;54400;63100
513800;54400;63100
513800;54400;63100
513810;54400;63100
513810;54400;63100
513820;54400;63100
513830;54400;63100
513830;54400;63100
513840;54400;63100
513840;54400;63200
513850;54400;63200
513850;54400;63200
513860;54400;63200
513860;54400;63200
513870;54400;63200
513880;54400;63200
513880;54400;63200
513890;54400;63200
513890;54400;63200
513900;54400;63200
513910;54400;63200
513910;54400;63200
513920;54400;63200
513930;54400;63200
513930;54400;63200
513940;54400;63300
513940;54400;63300
513950;54400;63300
513960;54400;63300
513960;54400;63300
513970;54400;63300
513980;54400;63300
513980;54400;63300
513990;54400;63300
513990;54400;63300
514000;54400;63300
514010;54400;63300
514010;54400;63300
514020;54400;63300
514030;54400;63300
514030;54400;63400
514040;54400;63400
514050;54400;63400
514050;54400;63400
514060;54400;63400
514070;54400;63400
514080;54400;63400
514080;54400;63400
514090;54400;63400
514100;54400;63400
514100;54400;63400
514110;54400;63400
514120;54400;63400
514130;54400;63400
514130;54400;63500
514140;54400;63500
514150;54400;63500
514150;54400;63500
514160;54400;63500
514170;54400;63500
514180;54400;63500
514180;54400;63500
514190;54400;63500
514200;54400;63500
514210;54400;63500
514220;54400;63500
514220;54400;63500
514230;54400;63600
514240;54400;63600
514250;54400;63600
514260;54400;63600
514260;54400;63600
514270;54400;63600
514280;54300;63600
514290;54300;63600
514300;54300;63600
514300;54300;63600
514310;54300;63600
514320;54300;63600
514330;54300;63700
514340;54300;63700
514350;54300;63700
514350;54300;63700
514360;54300;63700
514370;54300;63700
514380;54300;63700
514390;54300;63700
514400;54300;63700
514410;54300;63700
514410;54300;63700
514420;54300;63800
514430;54300;63800
514440;54300;63800
514450;54300;63800
514460;54300;63800
514470;54300;63800
514480;54300;63800
514490;54300;63800
514490;54300;63800
514500;54300;63800
514510;54300;63800
514520;54300;63900
514530;54300;63900
514540;54300;63900
514550;54300;63900
514560;54300;63900
514570;54300;63900
514580;54300;63900
514590;54300;63900
514600;54300;63900
514610;54300;63900
514620;54300;64000
514620;54300;64000
514630;54300;64000
514640;54300;64000
514650;54300;64000
514660;54300;64000
514670;54300;64000
514680;54300;64000
514690;54300;64000
514700;54300;64000
514710;54300;64100
514720;54300;64100
514730;54300;64100
514740;54300;64100
514750;54300;64100
514760;54300;64100
514770;54300;64100
514780;54300;64100
514790;54300;64100
514800;54300;64100
514820;54300;64200
514830;54300;64200
514840;54300;64200
514850;54300;64200
514860;54300;64200
514870;54300;64200
514880;54300;64200
514890;54300;64200
514910;54300;64200
514920;54300;64300
514930;54300;64300
514940;54300;64300
514950;54300;64300
514960;54300;64300
514970;54300;64300
